dimensi;2018;2019
kesehatan;54.8;56
kesehatan;55.7;57.5
kesehatan;63.7;67.8
kesehatan;58.5;58
kesehatan;69.6;67
kesehatan;68.9;68.1
kesehatan;72.2;71.7
kesehatan;80.2;78.7
kesehatan;83.6;78
kesehatan;78.7;69.3
kesehatan;79;74.6
kesehatan;75.1;71.5
kesehatan;84.2;83.7
kesehatan;87.1;83.9
kesehatan;82.3;80.9
kesehatan;69.7;66.1
kesehatan;90.8;84.6
kesehatan;78.9;80.7
kesehatan;60.9;64.4
kesehatan;66.5;67.9
kesehatan;59.6;64.1
kesehatan;78.3;76.2
kesehatan;80;73.5
kesehatan;75.2;70.9
kesehatan;75.6;78.6
kesehatan;64.5;68.6
kesehatan;69.9;70.1
kesehatan;51.4;59.3
kesehatan;76.5;79.1
kesehatan;62.4;65.8
kesehatan;39.6;47.5
kesehatan;50.4;56
kesehatan;49.8;55.9
kesehatan;36.1;39.9
gizi;59.3;79.3
gizi;52.2;68
gizi;76;84
gizi;65.6;80
gizi;81;80.8
gizi;65.6;81
gizi;69.8;79.3
gizi;68.7;82.4
gizi;61.5;57.2
gizi;64.3;63.7
gizi;65.2;78.3
gizi;69.4;81.6
gizi;77.4;88.9
gizi;82.4;92.9
gizi;64.4;78.9
gizi;61.5;76.6
gizi;56.2;78.1
gizi;87.9;89.6
gizi;77.4;88.3
gizi;72.5;81.2
gizi;69.5;71.5
gizi;62.5;81.1
gizi;67.7;83.5
gizi;66.7;83.4
gizi;55;62.4
gizi;64.5;74.3
gizi;71.7;82.6
gizi;59.8;72.2
gizi;56.2;67.9
gizi;85.1;88.7
gizi;54.9;71.7
gizi;73.3;77.5
gizi;58.7;75.5
gizi;65.9;83.8
perlindungan sosial;95.7;88.9
perlindungan sosial;57.8;51.2
perlindungan sosial;60.8;56.9
perlindungan sosial;52.4;48.5
perlindungan sosial;53.6;46.6
perlindungan sosial;72.3;51.9
perlindungan sosial;63;55.2
perlindungan sosial;68.4;60.5
perlindungan sosial;47.6;43.3
perlindungan sosial;44.7;44
perlindungan sosial;46.9;47.4
perlindungan sosial;68.3;49.7
perlindungan sosial;73.9;58.8
perlindungan sosial;80.5;69.3
perlindungan sosial;66.6;51.3
perlindungan sosial;62.8;56.9
perlindungan sosial;49;49.6
perlindungan sosial;75.4;68.6
perlindungan sosial;72.9;71.7
perlindungan sosial;48.5;48.1
perlindungan sosial;44.6;37.2
perlindungan sosial;56.7;57.4
perlindungan sosial;51.7;48.6
perlindungan sosial;58.5;57.7
perlindungan sosial;69.2;64.1
perlindungan sosial;68.2;65.2
perlindungan sosial;66.9;62
perlindungan sosial;70.5;63.5
perlindungan sosial;77.9;69.2
perlindungan sosial;83.9;78.2
perlindungan sosial;75.1;63.9
perlindungan sosial;63;54.3
perlindungan sosial;71.9;73.7
perlindungan sosial;76.7;67.4
